                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4107,                 3.7731,                 5.3517,                 1.4641,                0.56077,                 0.2795,                0.28996,                0.17087,                0.37696,                 0.3245,                0.25816,                0.12054,                 1.5576,                 2.7962,                 4.4764,                 1.0446,              0.0001666,              0.0001666,              0.0001666
                      2,                 1.3795,                 2.4573,                 1.2632,                0.99254,                0.75495,                 0.4551,                0.47287,                 0.3277,                0.74623,                0.44563,                0.46181,                0.23519,                 1.1721,                 2.1054,                 1.3026,                0.94415,             0.00033815,             0.00033815,             0.00033815
                      3,                 1.1679,                 1.9807,                0.95665,                0.93756,                0.88029,                0.50681,                0.57594,                0.40301,                0.86454,                0.49322,                0.55311,                0.32764,                 1.0274,                 1.9009,                0.93754,                0.91814,             0.00050623,             0.00050623,             0.00050623
                      4,                 1.0641,                 1.8245,                0.81648,                0.90434,                0.87992,                0.48628,                0.60172,                0.43712,                0.86775,                0.47287,                0.58836,                0.38581,                0.99745,                 1.6313,                0.87255,                0.90477,             0.00067086,             0.00067086,             0.00067086
                      5,                 1.0182,                 1.7315,                0.74828,                0.89658,                0.78259,                0.56467,                 0.6163,                0.47414,                0.77352,                0.55531,                0.60027,                0.36165,                0.89653,                 1.5867,                0.85391,                0.88013,             0.00080001,             0.00080001,             0.00080001
                      6,                 0.9201,                 1.5661,                0.69213,                0.87623,                0.81939,                0.57411,                0.65127,                0.51373,                0.80923,                0.56458,                0.63518,                0.40115,                0.77901,                 1.4851,                0.65862,                 0.8532,             0.00080001,             0.00080001,             0.00080001
                      7,                0.89832,                 1.5103,                0.65121,                 0.8743,                0.84648,                0.62889,                 0.6943,                0.52938,                0.80102,                0.63834,                0.68617,                0.42991,                0.78387,                 1.3784,                0.57925,                0.84902,             0.00079177,             0.00079177,             0.00079177
                      8,                0.86744,                 1.4402,                0.62469,                0.86563,                0.94389,                0.63125,                0.69795,                0.52984,                0.93173,                0.61877,                0.68461,                0.42392,                0.81283,                 1.3131,                0.59594,                0.85285,             0.00078352,             0.00078352,             0.00078352
                      9,                0.83931,                 1.3863,                0.59351,                0.86531,                0.83145,                0.65503,                0.71839,                 0.5503,                0.82826,                0.63864,                0.70476,                0.44845,                 0.7802,                 1.2007,                0.55262,                 0.8385,             0.00077527,             0.00077527,             0.00077527
                     10,                 0.8229,                 1.3605,                0.57252,                 0.8576,                0.89575,                 0.6774,                0.73331,                0.57265,                0.93978,                0.67216,                0.72904,                0.46705,                0.72817,                 1.1359,                0.52965,                0.83054,             0.00076703,             0.00076703,             0.00076703
                     11,                0.79243,                 1.3141,                0.54651,                 0.8585,                0.88752,                 0.6755,                0.73063,                0.58082,                0.88136,                0.66956,                0.74255,                0.48044,                0.70485,                 1.1157,                0.49407,                0.83261,             0.00075878,             0.00075878,             0.00075878
                     12,                0.77515,                 1.2786,                0.53872,                0.85378,                0.83287,                0.73178,                 0.7529,                0.59463,                0.81938,                 0.7219,                0.75931,                0.48565,                0.69101,                 1.1156,                0.49038,                0.83034,             0.00075053,             0.00075053,             0.00075053
                     13,                0.74556,                 1.2397,                0.51514,                0.84335,                0.83543,                0.72342,                0.74694,                0.59672,                0.85663,                0.70102,                0.74063,                0.48405,                0.65472,                 1.0263,                0.47365,                0.82456,             0.00074229,             0.00074229,             0.00074229
                     14,                 0.7296,                 1.2011,                0.50515,                0.84372,                0.81487,                0.72621,                0.74718,                0.59612,                0.88956,                0.72898,                 0.7632,                0.46274,                0.68869,                 1.1539,                0.47832,                0.83321,             0.00073404,             0.00073404,             0.00073404
                     15,                0.73871,                 1.2058,                0.50344,                0.84464,                0.90099,                 0.7242,                 0.7533,                0.58874,                0.90809,                0.71618,                0.76563,                0.47437,                0.64453,                 1.0816,                0.44886,                0.82778,             0.00072579,             0.00072579,             0.00072579
                     16,                0.73304,                 1.1895,                0.50319,                0.84199,                0.89863,                0.72475,                0.75601,                0.59833,                0.92635,                0.71734,                0.76908,                0.48974,                0.65414,                 1.0606,                 0.4467,                0.82996,             0.00071755,             0.00071755,             0.00071755
                     17,                0.71884,                 1.1509,                0.49466,                0.83905,                0.83238,                0.73818,                0.75634,                0.61883,                0.82443,                0.75137,                 0.7765,                0.50656,                0.62098,                 1.0068,                0.44147,                0.81617,              0.0007093,              0.0007093,              0.0007093
                     18,                0.70849,                 1.1085,                0.48616,                0.83394,                0.82954,                0.75339,                0.76131,                0.61835,                0.81834,                0.73312,                0.75713,                 0.4894,                 0.6547,                0.97933,                0.44744,                0.82333,             0.00070105,             0.00070105,             0.00070105
                     19,                0.69495,                 1.1024,                 0.4758,                0.83251,                0.83672,                0.74466,                0.76197,                0.60403,                0.82983,                0.75083,                0.76728,                0.48387,                0.64349,                0.99061,                0.43498,                0.81777,             0.00069281,             0.00069281,             0.00069281
                     20,                0.69312,                 1.0801,                0.47308,                0.83296,                0.88201,                0.75313,                0.77794,                0.62382,                0.83193,                0.76797,                0.78226,                0.50299,                0.60578,                 1.0125,                 0.4243,                0.81683,             0.00068456,             0.00068456,             0.00068456
                     21,                0.65091,                 1.0559,                 0.4464,                0.83078,                 0.8822,                 0.7586,                0.77671,                0.64423,                0.83276,                0.75314,                0.79368,                0.51001,                0.56325,                0.93783,                 0.4044,                0.81303,             0.00067631,             0.00067631,             0.00067631
                     22,                0.65284,                 1.0755,                0.44531,                0.82754,                0.83861,                0.74692,                0.76845,                 0.6344,                0.81944,                0.76002,                0.78506,                0.52301,                0.57099,                0.91264,                 0.4061,                0.81389,             0.00066807,             0.00066807,             0.00066807
                     23,                0.64091,                 1.0457,                0.43697,                0.82569,                0.88467,                  0.732,                0.77177,                0.62192,                0.89519,                0.74346,                0.78171,                0.51225,                0.59038,                0.90729,                0.41033,                 0.8167,             0.00065982,             0.00065982,             0.00065982
                     24,                0.63891,                   1.02,                0.43682,                0.82537,                0.85502,                0.76526,                0.77557,                0.61464,                0.88303,                0.76688,                0.79508,                0.52798,                0.59152,                0.95597,                0.40062,                0.81329,             0.00065157,             0.00065157,             0.00065157
                     25,                0.65529,                 1.0362,                0.43777,                 0.8258,                0.87681,                0.74639,                0.77708,                0.63586,                0.80389,                0.76955,                0.78704,                0.52172,                0.55089,                0.87272,                0.40024,                0.81094,             0.00064333,             0.00064333,             0.00064333
                     26,                0.63174,                0.99857,                 0.4282,                0.82539,                0.85698,                0.74456,                0.76955,                0.63425,                0.77583,                 0.7714,                0.77309,                0.51847,                0.54378,                0.87764,                0.38897,                0.80805,             0.00063508,             0.00063508,             0.00063508
                     27,                0.60956,                0.96196,                0.41324,                0.82154,                0.85556,                0.74718,                0.78091,                0.63353,                0.80886,                0.73106,                0.77066,                0.49398,                0.55278,                0.86163,                0.37917,                0.81223,             0.00062683,             0.00062683,             0.00062683
                     28,                0.64101,                0.99922,                0.42846,                0.82326,                0.85265,                  0.775,                0.78742,                0.63735,                0.80844,                0.76764,                0.76888,                 0.4977,                0.54923,                0.83305,                0.38214,                0.81039,             0.00061859,             0.00061859,             0.00061859
                     29,                 0.5986,                0.95235,                0.40347,                0.81448,                0.87936,                0.77557,                0.78989,                0.64641,                 0.8518,                0.77288,                0.79699,                0.48966,                0.53541,                0.88012,                0.37876,                0.80726,             0.00061034,             0.00061034,             0.00061034
